Zip Codes,Areas,Add/Change,Latitude,Longitude,School District,OBInstlD,GeoID
63117,Richmond Heights,n,38.6289223,-90.3301342,MAPLEWOOD-RICHMOND HEIGHTS HIGH SCHOOL,578825,ZI63117
63101,Saint Louis,n,38.6305392,-90.1928216,HOGAN ST REGIONAL YOUTH CTR,5700076033,ZI63101
63102,Saint Louis,n,38.623996,-90.1846217,LIFT FOR LIFE ACADEMY HIGH SCH,5700091168,ZI63102
63103,Saint Louis,n,38.629185,-90.2174318,KIPP ST LOUIS HIGH SCHOOL,5700110953,ZI63103
63104,Saint Louis,n,38.6160491,-90.2291565,MCKINLEY CLASS. LEADERSHIP AC.,582204,ZI63104
63106,Saint Louis,n,38.6449348,-90.2080547,HOGAN ST REGIONAL YOUTH CTR,5700076033,ZI63106
63107,Saint Louis,n,38.6685228,-90.2103988,BEAUMONT CTE HIGH SCHOOL,581212,ZI63107
63108,Saint Louis,n,38.647459,-90.25731,METRO ACADEMIC & CLASSICAL HIGH SCHOOL,580830,ZI63108
63109,Saint Louis,n,38.5844193,-90.2948797,GATEWAY SCIENCE ACADEMY HIGH SCHOOL,5700090181,ZI63109
63110,Saint Louis,n,38.6212468,-90.2526163,GATEWAY HIGH SCHOOL,4018669,ZI63110
63111,Saint Louis,n,38.5635304,-90.2479232,CARNAHAN SCHOOL OF THE FUTURE,5280279,ZI63111
63112,Saint Louis,n,38.65788,-90.2854839,SOLDAN INTERNATIONAL STUDIES,1759436,ZI63112
63113,Saint Louis,n,38.6605914,-90.2455769,SUMNER HIGH SCHOOL,581406,ZI63113
63116,Saint Louis,n,38.5844866,-90.266699,GATEWAY SCIENCE ACADEMY HIGH SCHOOL,5700090181,ZI63116
63139,Saint Louis,n,38.6159025,-90.2948797,GATEWAY HIGH SCHOOL,4018669,ZI63139
63146,Saint Louis,n,38.6887567,-90.4643906,NORTH HIGH SCHOOL,579348,ZI63146
63147,Saint Louis,n,38.6999486,-90.2197765,NORTHWEST ACADEMY OF LAW,5700081307,ZI63147
63155,Saint Louis,n,38.6289227,-90.2051514,KIPP ST LOUIS HIGH SCHOOL,5700110953,ZI63155
63138,Spanish Lake,n,38.7994436,-90.2057108,LEWIS AND CLARK HALL,5700074566,ZI63138
63074,St Ann,n,38.7257164,-90.3842527,RITENOUR SR. HIGH SCHOOL,579738,ZI63074
63127,Sunset Hills,n,38.531543,-90.417231,LINDBERGH SR. HIGH SCHOOL,578722,ZI63127
63130,University City,,38.6682669,-90.3230807,UNIVERSITY CITY SR. HIGH SCHOOL,580311,ZI63130
63088,Valley Park,n,38.5522581,-90.4927134,VALLEY PARK SR. HIGH SCHOOL,580359,ZI63088
63120,Walnut Park,n,38.6893721,-90.266699,NORTHWEST ACADEMY OF LAW,5700081307,ZI63120
63119,Webster Groves,,38.5842641,-90.3513021,WEBSTER GROVES HIGH SCHOOL,580517,ZI63119
63038,Wildwood,n,38.5775338,-90.6867939,WILDWOOD MIDDLE SCHOOL,4945866,ZI63038
63040,Wildwood,n,38.5726288,-90.6251541,LAFAYETTE SR. HIGH SCHOOL,580036,ZI63040
